run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
9863,10,50,50,95,1000,0.095
9864,10,50,60,245,1000,0.245
9865,10,50,70,66,1000,0.066
9866,10,50,80,79,1000,0.079
9867,10,50,90,50,1000,0.05
9868,20,50,10,78,1000,0.078
9869,20,50,20,228,1000,0.228
9870,20,50,30,104,1000,0.104
9871,20,50,35,132,1000,0.132
9872,20,50,40,505,1000,0.505
9873,20,50,45,393,1000,0.393
9874,20,50,50,0,1000,0
9875,20,50,60,104,1000,0.104
9876,20,50,70,460,1000,0.46
9877,20,50,80,20,1000,0.02
9878,20,50,90,60,1000,0.06
9879,35,50,10,16,1000,0.016
9880,35,50,20,94,1000,0.094
9881,35,50,30,88,1000,0.088
9882,35,50,35,39,1000,0.039
9883,35,50,40,132,1000,0.132
9884,35,50,45,71,1000,0.071
9885,35,50,50,2,1000,0.002
9886,35,50,60,3,1000,0.003
9887,35,50,70,138,1000,0.138
9888,35,50,80,85,1000,0.085
9889,35,50,90,57,1000,0.057
9890,50,50,10,94,1000,0.094
9891,50,50,20,86,1000,0.086
9892,50,50,30,101,1000,0.101
9893,50,50,35,153,1000,0.153
9894,50,50,40,22,1000,0.022
9895,50,50,45,300,1000,0.3
9896,50,50,50,80,1000,0.08
9897,50,50,60,105,1000,0.105
9898,50,50,70,118,1000,0.118
9899,50,50,80,29,1000,0.029
9900,50,50,90,55,1000,0.055
9901,65,50,10,53,1000,0.053
9902,65,50,20,90,1000,0.09
9903,65,50,30,128,1000,0.128
9904,65,50,35,102,1000,0.102
9905,65,50,40,220,1000,0.22
9906,65,50,45,122,1000,0.122
9907,65,50,50,170,1000,0.17
9908,65,50,60,115,1000,0.115
9909,65,50,70,138,1000,0.138
9910,65,50,80,75,1000,0.075
9911,65,50,90,65,1000,0.065
9912,75,50,10,66,1000,0.066
9913,75,50,20,97,1000,0.097
9914,75,50,30,89,1000,0.089
9915,75,50,35,327,1000,0.327
9916,75,50,40,53,1000,0.053
9917,75,50,45,142,1000,0.142
9918,75,50,50,803,1000,0.803
9919,75,50,60,214,1000,0.214
9920,75,50,70,110,1000,0.11
9921,75,50,80,84,1000,0.084
9922,75,50,90,40,1000,0.04
9923,90,50,10,51,1000,0.051
9924,90,50,20,84,1000,0.084
9925,90,50,30,104,1000,0.104
9926,90,50,35,136,1000,0.136
9927,90,50,40,118,1000,0.118
9928,90,50,45,142,1000,0.142
9929,90,50,50,89,1000,0.089
9930,90,50,60,358,1000,0.358
9931,90,50,70,108,1000,0.108
9932,90,50,80,73,1000,0.073
9933,90,50,90,56,1000,0.056
9934,10,150,10,45,1000,0.045
9935,10,150,20,80,1000,0.08
9936,10,150,30,177,1000,0.177
9937,10,150,35,448,1000,0.448
9938,10,150,40,110,1000,0.11
9939,10,150,45,212,1000,0.212
9940,10,150,50,564,1000,0.564
9941,10,150,60,3,1000,0.003
9942,10,150,70,111,1000,0.111
9943,10,150,80,26,1000,0.026
9944,10,150,90,65,1000,0.065
9945,20,150,10,72,1000,0.072
9946,20,150,20,71,1000,0.071
9947,20,150,30,207,1000,0.207
9948,20,150,35,137,1000,0.137
9949,20,150,40,127,1000,0.127
9950,20,150,45,203,1000,0.203
